ID,quant,match,context,title,clauses,url,standalone,processed,precedingmodifier
12388,everybody,everybody didn't want to approach him anyway,"Thank you, yeah - because he's shy. And everybody didn't want to approach him anyway because he's so shy. But he and I would sit and have lunch together.",Invisible Beauty explores Bethann Hardisons role as a fashion trailblazer,702,https://www.npr.org/transcripts/1198759937,NONE,No,
12389,every song,"every song wasn't, like, this huge big band song","So just to hear that kind of instrumentation, even though in Outkast's music, I've been producing songs that had, you know, horns before and, you know, those sounds, I mean, it's the arrangements, you know? So it's the horn blast, and it's the way that the parts are written that are different. So every song wasn't, like, this huge big band song. I mean, some of them had beats to them.",Fresh Air celebrates 50 years of hiphop Outkasts André 3000,371,https://www.npr.org/transcripts/1197212691,NONE,No,
12390,everybody,"everybody doesn't know what Dana really - you know, who Dana really is","Latifah is me, but then she became bigger than me, you know, because Queen Latifah is known in all these places. And, you know, everybody knows her face and what she does. And, you know, everybody doesn't know what Dana really - you know, who Dana really is. So I have to give the, you know, professional stuff a break and just be me sometimes, you know?",Fresh Air celebrates 50 years of hiphop Queen Latifah,418,https://www.npr.org/transcripts/1196657592,NONE,No,
12391,everybody,everybody in Shaker Heights was not necessarily on board with having an integrated community,"And the way to achieve integration was to encourage and incentivize white families to stay and to arrive. And that was - that ethos, essentially, which began in Ludlow, spread to other neighborhoods in Shaker as integration spread across the city. And ultimately, the city itself embraced that as part of its identity, as part of its work as a community, which was pretty remarkable because it was - when all this started, everybody in Shaker Heights was not necessarily on board with having an integrated community. But ultimately, they realized that they could either be a place that was known as a changing community, a place that couldn't manage racial issues where there was conflict, or they could sort of remake themselves as a place that was embracing integration, embracing diversity, and that's what they did.",Dream Town examines the link between academic tracking and school segregation,484,https://www.npr.org/transcripts/1193874512,NONE,No,
12392,everybody,everybody doesn't smell everything,"Official date when she cooked for you. Yeah. But, Tonya, I tell you, I don't understand that everybody doesn't smell everything. You know, animals do, and we're animals. But, Tonya, I tell you, I don't understand that everybody doesn't smell everything. You know, animals do, and we're animals. So it astonishes me that every single person does not touch everything in sight and smell everything in sight. And when we're talking about smelling...",After the death of his wife actor Richard E Grant vowed to find joy every day,745,https://www.npr.org/transcripts/1190701265,NONE,No,
12393,every single person,every single person does not touch everything in sight and smell everything in sight,"Official date when she cooked for you. Yeah. But, Tonya, I tell you, I don't understand that everybody doesn't smell everything. You know, animals do, and we're animals. But, Tonya, I tell you, I don't understand that everybody doesn't smell everything. You know, animals do, and we're animals. So it astonishes me that every single person does not touch everything in sight and smell everything in sight. And when we're talking about smelling...",After the death of his wife actor Richard E Grant vowed to find joy every day,745,https://www.npr.org/transcripts/1190701265,NONE,No,
12394,everything,"everything wasn't all bad, you know, growing up","You know, everybody is hustling. And, you know, one of the lines in that song is, are we really living or just walking dead? And everything wasn't all bad, you know, growing up. Like, I just want to be clear about that.",Janelle Monáe explores masculine and feminine energies on The Age of Pleasure,616,https://www.npr.org/transcripts/1185342616,NONE,No,
12395,Everything,Everything at our fingertips is not necessarily helpful,"Stepping in and learning and figuring out where are you getting your information as well as so important. We live in the world of the internet. Everything at our fingertips is not necessarily helpful. So I think looking to the professional entities like the American Medical Association, the American Academy of Pediatrics, the World Health Organization and their recommendations for children is really helpful.",How school systems educators and parents can support transgender children,383,https://www.npr.org/transcripts/1184805981,NONE,No,
12396,everyone,"everyone, as you mentioned, who took the surname Shakur, was not related","But beginning with Saladin, obviously. This new beginning of a movement - when Malcolm X was assassinated, the Black Panther Party stepped in to fill that void. But everyone, as you mentioned, who took the surname Shakur, was not related. How did people actually become a part of the family? The Shakur family, as we think about families, it's not a traditional family of, like, blood relatives or by birth.",An Amerikan Family traces the legacy of Tupac Shakurs influential family,445,https://www.npr.org/transcripts/1182123264,NONE,No,
12398,every gig,every gig wasn't like that,"Somebody like that might be motivated to come find you after the show. And I'm the only person in town with Alabama plates, so, yeah, get the hell out of there. And, you know, thankfully every gig wasn't like that. But I'm thankful for those gigs.",Comic Roy Wood Jr taps into Americas psyche on The Daily Show,528,https://www.npr.org/transcripts/1172739796,NONE,No,
